GOLDEN TICK: sum_pv=27558780228767740, sum_v=14017077, vwap=1966086098
GOLDEN TICK: sum_pv=26407494613757906, sum_v=13430837, vwap=1966183836
GOLDEN TICK: sum_pv=26592526959393056, sum_v=13524959, vwap=1966181705
GOLDEN TICK: sum_pv=27129715701004162, sum_v=13798186, vwap=1966179880
GOLDEN TICK: sum_pv=26796112185745143, sum_v=13628526, vwap=1966178307
GOLDEN TICK: sum_pv=27443309588099241, sum_v=13957700, vwap=1966177062
GOLDEN TICK: sum_pv=28019046776883369, sum_v=14250534, vwap=1966175216
GOLDEN TICK: sum_pv=27354037125593813, sum_v=13912330, vwap=1966172246
GOLDEN TICK: sum_pv=26220724303948611, sum_v=13335941, vwap=1966169789
GOLDEN TICK: sum_pv=27104753628852201, sum_v=13785571, vwap=1966168367
GOLDEN TICK: sum_pv=26724131301047437, sum_v=13592003, vwap=1966165788
GOLDEN TICK: sum_pv=27349098819207203, sum_v=13909885, vwap=1966162827
GOLDEN TICK: sum_pv=26959730923379017, sum_v=13711862, vwap=1966161191
GOLDEN TICK: sum_pv=27195950790313098, sum_v=13832023, vwap=1966158586
GOLDEN TICK: sum_pv=26502046730433909, sum_v=13479112, vwap=1966156726
GOLDEN TICK: sum_pv=25488346375382790, sum_v=12963547, vwap=1966155279
GOLDEN TICK: sum_pv=24751578203408932, sum_v=12588825, vwap=1966154760
GOLDEN TICK: sum_pv=24987657348904259, sum_v=12708887, vwap=1966156229
GOLDEN TICK: sum_pv=24726788631787787, sum_v=12576190, vwap=1966158958
GOLDEN TICK: sum_pv=24723762474440103, sum_v=12574637, vwap=1966161128
GOLDEN TICK: sum_pv=25323076879686557, sum_v=12879438, vwap=1966163188
GOLDEN TICK: sum_pv=25107884275347732, sum_v=12769979, vwap=1966164883
GOLDEN TICK: sum_pv=24976453954089932, sum_v=12703119, vwap=1966167045
GOLDEN TICK: sum_pv=25748214371445763, sum_v=13095620, vwap=1966169938
GOLDEN TICK: sum_pv=26178941159085707, sum_v=13314680, vwap=1966171260
GOLDEN TICK: sum_pv=25886992498711166, sum_v=13166189, vwap=1966172025
GOLDEN TICK: sum_pv=26443667111054806, sum_v=13449298, vwap=1966174525
GOLDEN TICK: sum_pv=25981510429228184, sum_v=13214233, vwap=1966176200
GOLDEN TICK: sum_pv=27017638344766741, sum_v=13741188, vwap=1966179222
GOLDEN TICK: sum_pv=26537320741526677, sum_v=13496876, vwap=1966182451
GOLDEN TICK: sum_pv=26133359366338075, sum_v=13291408, vwap=1966184422
GOLDEN TICK: sum_pv=26256356745608727, sum_v=13353929, vwap=1966189631
GOLDEN TICK: sum_pv=26354009476504521, sum_v=13403585, vwap=1966191095
GOLDEN TICK: sum_pv=26722519260129318, sum_v=13590972, vwap=1966196329
GOLDEN TICK: sum_pv=27216556446451395, sum_v=13842218, vwap=1966199090
GOLDEN TICK: sum_pv=28421292021284766, sum_v=14454928, vwap=1966200870
GOLDEN TICK: sum_pv=29966867946557294, sum_v=15240980, vwap=1966203482
GOLDEN TICK: sum_pv=30468421412933029, sum_v=15496040, vwap=1966206941
GOLDEN TICK: sum_pv=30198778699108835, sum_v=15358880, vwap=1966209691
GOLDEN TICK: sum_pv=30639714445013012, sum_v=15583130, vwap=1966210539
GOLDEN TICK: sum_pv=30793327245678118, sum_v=15661249, vwap=1966211458
GOLDEN TICK: sum_pv=30714634784818024, sum_v=15621220, vwap=1966212292
GOLDEN TICK: sum_pv=31085266347600681, sum_v=15809708, vwap=1966213819
GOLDEN TICK: sum_pv=29658695111572752, sum_v=15084153, vwap=1966215478
GOLDEN TICK: sum_pv=28829182886106938, sum_v=14662259, vwap=1966216998
GOLDEN TICK: sum_pv=28851412009561001, sum_v=14673551, vwap=1966218811
GOLDEN TICK: sum_pv=28150262135811473, sum_v=14316943, vwap=1966220172
GOLDEN TICK: sum_pv=28900372932680122, sum_v=14698441, vwap=1966220290
GOLDEN TICK: sum_pv=28938987479325709, sum_v=14718082, vwap=1966220019
GOLDEN TICK: sum_pv=29297044917073621, sum_v=14900187, vwap=1966219948
GOLDEN TICK: sum_pv=29741480382309226, sum_v=15126221, vwap=1966220140
GOLDEN TICK: sum_pv=28111610404010863, sum_v=14297289, vwap=1966219638
GOLDEN TICK: sum_pv=29149346858820772, sum_v=14825070, vwap=1966219846
GOLDEN TICK: sum_pv=28800881752261708, sum_v=14647847, vwap=1966219455
GOLDEN TICK: sum_pv=29090977183304836, sum_v=14795388, vwap=1966219282
GOLDEN TICK: sum_pv=28191058662261450, sum_v=14337697, vwap=1966219446
GOLDEN TICK: sum_pv=27898602088029450, sum_v=14188957, vwap=1966219369
GOLDEN TICK: sum_pv=26986717549074863, sum_v=13725185, vwap=1966218855
GOLDEN TICK: sum_pv=26045675952522857, sum_v=13246582, vwap=1966218602
GOLDEN TICK: sum_pv=25602537811456286, sum_v=13021204, vwap=1966218931
GOLDEN TICK: sum_pv=24568825453189122, sum_v=12495462, vwap=1966219852
GOLDEN TICK: sum_pv=24427656556991194, sum_v=12423661, vwap=1966220468
GOLDEN TICK: sum_pv=23554109500898130, sum_v=11979380, vwap=1966221081
GOLDEN TICK: sum_pv=23855107598103268, sum_v=12132465, vwap=1966221010
GOLDEN TICK: sum_pv=23625519432862873, sum_v=12015699, vwap=1966220977
GOLDEN TICK: sum_pv=23089690596736133, sum_v=11743180, vwap=1966221295
GOLDEN TICK: sum_pv=23515749197280600, sum_v=11959863, vwap=1966222288
GOLDEN TICK: sum_pv=23366254953018637, sum_v=11883828, vwap=1966222916
GOLDEN TICK: sum_pv=23391434260760923, sum_v=11896621, vwap=1966225053
GOLDEN TICK: sum_pv=23375608614755759, sum_v=11888560, vwap=1966227080
GOLDEN TICK: sum_pv=23359133314644173, sum_v=11880171, vwap=1966228711
GOLDEN TICK: sum_pv=25258537564790988, sum_v=12846158, vwap=1966232827
GOLDEN TICK: sum_pv=25395445343886336, sum_v=12915764, vwap=1966236402
GOLDEN TICK: sum_pv=24811296870498702, sum_v=12618663, vwap=1966238172
GOLDEN TICK: sum_pv=25398521436196532, sum_v=12917297, vwap=1966241190
GOLDEN TICK: sum_pv=25917260785165927, sum_v=13181118, vwap=1966241466
GOLDEN TICK: sum_pv=25205849080805989, sum_v=12819300, vwap=1966242234
GOLDEN TICK: sum_pv=24297013551783147, sum_v=12357075, vwap=1966243107
GOLDEN TICK: sum_pv=25309067786099759, sum_v=12871801, vwap=1966241381
GOLDEN TICK: sum_pv=25506878350157759, sum_v=12972412, vwap=1966240229
GOLDEN TICK: sum_pv=26123352320452866, sum_v=13285949, vwap=1966239093
GOLDEN TICK: sum_pv=26706657104655298, sum_v=13582618, vwap=1966237812
GOLDEN TICK: sum_pv=27246858664474894, sum_v=13857364, vwap=1966236772
GOLDEN TICK: sum_pv=27050104704000360, sum_v=13757297, vwap=1966236878
GOLDEN TICK: sum_pv=27072913035126246, sum_v=13768898, vwap=1966236734
GOLDEN TICK: sum_pv=28286268840084532, sum_v=14386005, vwap=1966235159
GOLDEN TICK: sum_pv=28307014643505889, sum_v=14396562, vwap=1966234344
GOLDEN TICK: sum_pv=28030722285408377, sum_v=14256046, vwap=1966233995
GOLDEN TICK: sum_pv=27886878448124155, sum_v=14182901, vwap=1966232327
GOLDEN TICK: sum_pv=27327919078716217, sum_v=13898632, vwap=1966230854
GOLDEN TICK: sum_pv=28291893652029208, sum_v=14388913, vwap=1966228696
GOLDEN TICK: sum_pv=27935150103822051, sum_v=14207510, vwap=1966224208
GOLDEN TICK: sum_pv=27792533004402136, sum_v=14135001, vwap=1966220802
GOLDEN TICK: sum_pv=27513090978845230, sum_v=13992894, vwap=1966218780
GOLDEN TICK: sum_pv=26095087187335958, sum_v=13271737, vwap=1966214911
GOLDEN TICK: sum_pv=25982490376948739, sum_v=13214485, vwap=1966212862
GOLDEN TICK: sum_pv=25341894293954593, sum_v=12888693, vwap=1966211336
GOLDEN TICK: sum_pv=26457909012960317, sum_v=13456299, vwap=1966209952
GOLDEN TICK: sum_pv=26201696176631415, sum_v=13326000, vwap=1966208627
GOLDEN TICK: sum_pv=25507102609862289, sum_v=12972735, vwap=1966208560
GOLDEN TICK: sum_pv=25793636417828330, sum_v=13118467, vwap=1966208126
GOLDEN TICK: sum_pv=25308407830209916, sum_v=12871684, vwap=1966207982
GOLDEN TICK: sum_pv=24278331973591452, sum_v=12347796, vwap=1966207732
GOLDEN TICK: sum_pv=24856130016827260, sum_v=12641660, vwap=1966207762
GOLDEN TICK: sum_pv=26508964439215629, sum_v=13482277, vwap=1966208262
GOLDEN TICK: sum_pv=26322481555728670, sum_v=13387427, vwap=1966209156
GOLDEN TICK: sum_pv=25359711287124876, sum_v=12897769, vwap=1966209139
GOLDEN TICK: sum_pv=26627167897593548, sum_v=13542395, vwap=1966208185
GOLDEN TICK: sum_pv=26043537532290318, sum_v=13245569, vwap=1966207531
GOLDEN TICK: sum_pv=25745568936436944, sum_v=13094030, vwap=1966206655
GOLDEN TICK: sum_pv=25210906915565039, sum_v=12822109, vwap=1966205942
GOLDEN TICK: sum_pv=24461019882181934, sum_v=12440722, vwap=1966205810
GOLDEN TICK: sum_pv=23099798055509860, sum_v=11748420, vwap=1966204651
GOLDEN TICK: sum_pv=23026427629527892, sum_v=11711103, vwap=1966204859
GOLDEN TICK: sum_pv=23116503824311468, sum_v=11756912, vwap=1966205396
GOLDEN TICK: sum_pv=23817830272636047, sum_v=12113598, vwap=1966206099
GOLDEN TICK: sum_pv=24913583339484632, sum_v=12670883, vwap=1966207354
GOLDEN TICK: sum_pv=24370975333220940, sum_v=12394911, vwap=1966208174
GOLDEN TICK: sum_pv=23706177254232190, sum_v=12056792, vwap=1966209357
GOLDEN TICK: sum_pv=24472147821732280, sum_v=12446357, vwap=1966209696
GOLDEN TICK: sum_pv=24188548782787114, sum_v=12302120, vwap=1966209790
GOLDEN TICK: sum_pv=24306265713936520, sum_v=12361994, vwap=1966209149
GOLDEN TICK: sum_pv=24957328478290460, sum_v=12693128, vwap=1966207894
GOLDEN TICK: sum_pv=24241448242874938, sum_v=12329043, vwap=1966206804
GOLDEN TICK: sum_pv=24507346313036141, sum_v=12464296, vwap=1966203812
GOLDEN TICK: sum_pv=22897768754589374, sum_v=11645685, vwap=1966201967
GOLDEN TICK: sum_pv=22888988432231379, sum_v=11641228, vwap=1966200510
GOLDEN TICK: sum_pv=21551333218336267, sum_v=10960912, vwap=1966198909
GOLDEN TICK: sum_pv=22036966123806577, sum_v=11207917, vwap=1966196405
GOLDEN TICK: sum_pv=23063016809624191, sum_v=11729780, vwap=1966193467
GOLDEN TICK: sum_pv=23417744166634877, sum_v=11910226, vwap=1966188061
GOLDEN TICK: sum_pv=23000499761906589, sum_v=11698034, vwap=1966185066
GOLDEN TICK: sum_pv=23645325920401167, sum_v=12026002, vwap=1966183434
GOLDEN TICK: sum_pv=24023289385662699, sum_v=12218245, vwap=1966181672
GOLDEN TICK: sum_pv=24837632260202373, sum_v=12632439, vwap=1966178681
GOLDEN TICK: sum_pv=24988868702585064, sum_v=12709386, vwap=1966174345
GOLDEN TICK: sum_pv=24688710549944963, sum_v=12556759, vwap=1966169020
GOLDEN TICK: sum_pv=25164082500123172, sum_v=12798554, vwap=1966166060
GOLDEN TICK: sum_pv=25688073293497359, sum_v=13065075, vwap=1966163477
GOLDEN TICK: sum_pv=25397614088325447, sum_v=12917370, vwap=1966159836
GOLDEN TICK: sum_pv=25968313821026061, sum_v=13207654, vwap=1966156428
GOLDEN TICK: sum_pv=26045244797738535, sum_v=13246792, vwap=1966154884
GOLDEN TICK: sum_pv=26216923749510986, sum_v=13334119, vwap=1966153425
GOLDEN TICK: sum_pv=26280832735338716, sum_v=13366630, vwap=1966152480
GOLDEN TICK: sum_pv=25432143064060638, sum_v=12935003, vwap=1966148988
GOLDEN TICK: sum_pv=26702698461580416, sum_v=13581234, vwap=1966146703
GOLDEN TICK: sum_pv=27379154274642149, sum_v=13925305, vwap=1966143956
GOLDEN TICK: sum_pv=27953449027494227, sum_v=14217418, vwap=1966141041
GOLDEN TICK: sum_pv=28034180035831097, sum_v=14258503, vwap=1966137681
GOLDEN TICK: sum_pv=27475131520491451, sum_v=13974182, vwap=1966135228
GOLDEN TICK: sum_pv=26722733312361927, sum_v=13591518, vwap=1966133092
GOLDEN TICK: sum_pv=27363498649220318, sum_v=13917441, vwap=1966130027
GOLDEN TICK: sum_pv=27567161258509600, sum_v=14021046, vwap=1966127295
GOLDEN TICK: sum_pv=27640818777175318, sum_v=14058533, vwap=1966123974
GOLDEN TICK: sum_pv=27016991073385732, sum_v=13741280, vwap=1966118954
GOLDEN TICK: sum_pv=26284138034733300, sum_v=13368570, vwap=1966114403
GOLDEN TICK: sum_pv=26035137603823500, sum_v=13241948, vwap=1966110847
GOLDEN TICK: sum_pv=25457241991087923, sum_v=12948045, vwap=1966107006
GOLDEN TICK: sum_pv=25283371919982681, sum_v=12859631, vwap=1966103997
GOLDEN TICK: sum_pv=25884375879121647, sum_v=13165337, vwap=1966100516
GOLDEN TICK: sum_pv=26346333965400117, sum_v=13400337, vwap=1966094879
GOLDEN TICK: sum_pv=26769429987249105, sum_v=13615558, vwap=1966091289
GOLDEN TICK: sum_pv=26696974086110982, sum_v=13578733, vwap=1966087269
GOLDEN TICK: sum_pv=26554067264855226, sum_v=13506067, vwap=1966084372
GOLDEN TICK: sum_pv=26660771450000294, sum_v=13560364, vwap=1966080810
GOLDEN TICK: sum_pv=26225626255095380, sum_v=13339062, vwap=1966077244
GOLDEN TICK: sum_pv=25292197962062992, sum_v=12864312, vwap=1966074669
GOLDEN TICK: sum_pv=24244055091144090, sum_v=12331210, vwap=1966072679
GOLDEN TICK: sum_pv=23667804979437910, sum_v=12038140, vwap=1966068261
GOLDEN TICK: sum_pv=23229794950496341, sum_v=11815377, vwap=1966064641
GOLDEN TICK: sum_pv=23006752774909153, sum_v=11701953, vwap=1966060945
GOLDEN TICK: sum_pv=23262525685318672, sum_v=11832068, vwap=1966057470
GOLDEN TICK: sum_pv=22626982862540014, sum_v=11508818, vwap=1966056189
GOLDEN TICK: sum_pv=22319912191745442, sum_v=11352633, vwap=1966055997
GOLDEN TICK: sum_pv=22467133103909220, sum_v=11427514, vwap=1966056055
GOLDEN TICK: sum_pv=23184762080757772, sum_v=11792523, vwap=1966056125
GOLDEN TICK: sum_pv=23286172555270271, sum_v=11844100, vwap=1966056733
GOLDEN TICK: sum_pv=23463406363939971, sum_v=11934252, vwap=1966055883
GOLDEN TICK: sum_pv=24289434471937463, sum_v=12354396, vwap=1966056007
GOLDEN TICK: sum_pv=24538316940023873, sum_v=12480986, vwap=1966055962
GOLDEN TICK: sum_pv=23511149892486681, sum_v=11958533, vwap=1966056362
GOLDEN TICK: sum_pv=23413850896154123, sum_v=11909040, vwap=1966056953
GOLDEN TICK: sum_pv=23530201215648030, sum_v=11968213, vwap=1966058025
GOLDEN TICK: sum_pv=23970323719001738, sum_v=12192071, vwap=1966058409
GOLDEN TICK: sum_pv=23426600646428330, sum_v=11915515, vwap=1966058592
GOLDEN TICK: sum_pv=23295190390290051, sum_v=11848669, vwap=1966059680
GOLDEN TICK: sum_pv=24059022402124282, sum_v=12237166, vwap=1966061619
GOLDEN TICK: sum_pv=25694749380993574, sum_v=13069138, vwap=1966063054
GOLDEN TICK: sum_pv=25925635783054574, sum_v=13186558, vwap=1966065426
GOLDEN TICK: sum_pv=26269346716759479, sum_v=13361368, vwap=1966067150
GOLDEN TICK: sum_pv=27445133847113444, sum_v=13959391, vwap=1966069569
GOLDEN TICK: sum_pv=26724346758889824, sum_v=13592763, vwap=1966071707
GOLDEN TICK: sum_pv=26616391386269045, sum_v=13537851, vwap=1966072117
GOLDEN TICK: sum_pv=26357858828287060, sum_v=13406353, vwap=1966072266
GOLDEN TICK: sum_pv=26167969251017071, sum_v=13309766, vwap=1966072825
GOLDEN TICK: sum_pv=24921801666830470, sum_v=12675922, vwap=1966074078
GOLDEN TICK: sum_pv=25190182808211261, sum_v=12812413, vwap=1966076398
GOLDEN TICK: sum_pv=26378670516552621, sum_v=13416891, vwap=1966079214
GOLDEN TICK: sum_pv=25423428498608904, sum_v=12931014, vwap=1966081584
GOLDEN TICK: sum_pv=24187802712462891, sum_v=12302530, vwap=1966083619
GOLDEN TICK: sum_pv=24328137825151562, sum_v=12373892, vwap=1966086161
GOLDEN TICK: sum_pv=24460660689926978, sum_v=12441275, vwap=1966089543
GOLDEN TICK: sum_pv=23833764312410359, sum_v=12122409, vwap=1966091418
GOLDEN TICK: sum_pv=24162405229018551, sum_v=12289545, vwap=1966094369
GOLDEN TICK: sum_pv=24562753486023801, sum_v=12493159, vwap=1966096284
GOLDEN TICK: sum_pv=25414666956096656, sum_v=12926450, vwap=1966097958
GOLDEN TICK: sum_pv=25322055204942573, sum_v=12879343, vwap=1966098364
GOLDEN TICK: sum_pv=25708504290038353, sum_v=13075886, vwap=1966100369
GOLDEN TICK: sum_pv=25756396840209592, sum_v=13100233, vwap=1966102193
GOLDEN TICK: sum_pv=26552674567197132, sum_v=13505219, vwap=1966104701
GOLDEN TICK: sum_pv=26062299969277203, sum_v=13255783, vwap=1966107922
GOLDEN TICK: sum_pv=26330486814245477, sum_v=13392177, vwap=1966109529
GOLDEN TICK: sum_pv=27203511175627019, sum_v=13836209, vwap=1966110166
GOLDEN TICK: sum_pv=28224426853924620, sum_v=14355464, vwap=1966110385
GOLDEN TICK: sum_pv=29011488693955827, sum_v=14755778, vwap=1966110407
GOLDEN TICK: sum_pv=29253834579156096, sum_v=14879037, vwap=1966110748
GOLDEN TICK: sum_pv=29689190502663702, sum_v=15100470, vwap=1966110359
GOLDEN TICK: sum_pv=28245447531983298, sum_v=14366152, vwap=1966110864
GOLDEN TICK: sum_pv=28618940512285156, sum_v=14556128, vwap=1966109429
GOLDEN TICK: sum_pv=28352546399168881, sum_v=14420639, vwap=1966108880
GOLDEN TICK: sum_pv=28930047793176280, sum_v=14714384, vwap=1966106620
GOLDEN TICK: sum_pv=27716127558431692, sum_v=14096970, vwap=1966105309
GOLDEN TICK: sum_pv=28281869716978181, sum_v=14384726, vwap=1966104166
GOLDEN TICK: sum_pv=27839616620220121, sum_v=14159800, vwap=1966102389
GOLDEN TICK: sum_pv=27387150335777682, sum_v=13929677, vwap=1966100889
GOLDEN TICK: sum_pv=27456293882507560, sum_v=13964850, vwap=1966100164
GOLDEN TICK: sum_pv=27327748567481632, sum_v=13899471, vwap=1966099901
GOLDEN TICK: sum_pv=25167467896437736, sum_v=12800708, vwap=1966099679
GOLDEN TICK: sum_pv=24669083704882223, sum_v=12547228, vwap=1966098305
GOLDEN TICK: sum_pv=23851633021934060, sum_v=12131468, vwap=1966096190
GOLDEN TICK: sum_pv=23416151254353192, sum_v=11909982, vwap=1966094596
GOLDEN TICK: sum_pv=23617504987885870, sum_v=12012402, vwap=1966093458
GOLDEN TICK: sum_pv=23134853450648735, sum_v=11766918, vwap=1966092858
GOLDEN TICK: sum_pv=22800553750288959, sum_v=11596884, vwap=1966093111
GOLDEN TICK: sum_pv=21549069284272346, sum_v=10960352, vwap=1966092812
GOLDEN TICK: sum_pv=22057233813424337, sum_v=11218821, vwap=1966091963
GOLDEN TICK: sum_pv=21905465516222791, sum_v=11141633, vwap=1966091103
GOLDEN TICK: sum_pv=21884597726468380, sum_v=11131016, vwap=1966091660
GOLDEN TICK: sum_pv=22388714509093912, sum_v=11387405, vwap=1966094514
GOLDEN TICK: sum_pv=23593613240896772, sum_v=12000231, vwap=1966096589
GOLDEN TICK: sum_pv=22795281094450532, sum_v=11594170, vwap=1966098573
GOLDEN TICK: sum_pv=24202128752870706, sum_v=12309725, vwap=1966098247
GOLDEN TICK: sum_pv=24088491916741809, sum_v=12251921, vwap=1966099186
GOLDEN TICK: sum_pv=24493258531189853, sum_v=12457783, vwap=1966100913
GOLDEN TICK: sum_pv=25527573518484047, sum_v=12983841, vwap=1966103367
GOLDEN TICK: sum_pv=24395475322376989, sum_v=12408022, vwap=1966105098
GOLDEN TICK: sum_pv=24962762482913571, sum_v=12696531, vwap=1966108890
GOLDEN TICK: sum_pv=26355035995805599, sum_v=13404641, vwap=1966112781
GOLDEN TICK: sum_pv=26542064065750093, sum_v=13499746, vwap=1966115811
GOLDEN TICK: sum_pv=27027849225568804, sum_v=13746803, vwap=1966118902
GOLDEN TICK: sum_pv=26075145772250664, sum_v=13262236, vwap=1966119873
GOLDEN TICK: sum_pv=26939770144471562, sum_v=13701969, vwap=1966124003
GOLDEN TICK: sum_pv=27471659877694136, sum_v=13972482, vwap=1966125980
GOLDEN TICK: sum_pv=27508513149754532, sum_v=13991213, vwap=1966127822
GOLDEN TICK: sum_pv=27922649184178557, sum_v=14201839, vwap=1966129117
GOLDEN TICK: sum_pv=28345797558555780, sum_v=14417046, vwap=1966130756
GOLDEN TICK: sum_pv=27570011994565965, sum_v=14022454, vwap=1966133174
GOLDEN TICK: sum_pv=28102112658228884, sum_v=14293085, vwap=1966133459
GOLDEN TICK: sum_pv=27824532554873016, sum_v=14151908, vwap=1966132945
GOLDEN TICK: sum_pv=26909396531797472, sum_v=13686458, vwap=1966132985
GOLDEN TICK: sum_pv=26891279871486520, sum_v=13677243, vwap=1966133077
GOLDEN TICK: sum_pv=27012126620976732, sum_v=13738702, vwap=1966133818
GOLDEN TICK: sum_pv=26729324691885990, sum_v=13594864, vwap=1966134026
GOLDEN TICK: sum_pv=26836191802219770, sum_v=13649226, vwap=1966132863
GOLDEN TICK: sum_pv=25595378414187664, sum_v=13018134, vwap=1966132658
GOLDEN TICK: sum_pv=24964124331192420, sum_v=12697073, vwap=1966132220
GOLDEN TICK: sum_pv=24596765131259614, sum_v=12510243, vwap=1966130084
GOLDEN TICK: sum_pv=24130671784640891, sum_v=12273199, vwap=1966127314
GOLDEN TICK: sum_pv=23894210151390023, sum_v=12152941, vwap=1966125742
GOLDEN TICK: sum_pv=23388428335619875, sum_v=11895706, vwap=1966123602
GOLDEN TICK: sum_pv=23604849766868100, sum_v=12005781, vwap=1966123633
GOLDEN TICK: sum_pv=22249090946276118, sum_v=11316238, vwap=1966120803
GOLDEN TICK: sum_pv=22069301630184258, sum_v=11224802, vwap=1966119458
GOLDEN TICK: sum_pv=22784512740489894, sum_v=11588579, vwap=1966117911
GOLDEN TICK: sum_pv=21770786895107394, sum_v=11072988, vwap=1966116724
GOLDEN TICK: sum_pv=21041043358300899, sum_v=10701837, vwap=1966115103
GOLDEN TICK: sum_pv=21317058085575040, sum_v=10842235, vwap=1966112898
GOLDEN TICK: sum_pv=20998207007036499, sum_v=10680066, vwap=1966112101
GOLDEN TICK: sum_pv=20543862622584781, sum_v=10448980, vwap=1966111775
GOLDEN TICK: sum_pv=21745414242545461, sum_v=11060110, vwap=1966111932
GOLDEN TICK: sum_pv=22618127947585655, sum_v=11503992, vwap=1966111237
GOLDEN TICK: sum_pv=21934860789845539, sum_v=11156474, vwap=1966110510
GOLDEN TICK: sum_pv=21666886297737485, sum_v=11020179, vwap=1966110196
GOLDEN TICK: sum_pv=22165133409805221, sum_v=11273600, vwap=1966109619
GOLDEN TICK: sum_pv=22612836035274085, sum_v=11501318, vwap=1966108235
GOLDEN TICK: sum_pv=23268010042504841, sum_v=11834556, vwap=1966107561
GOLDEN TICK: sum_pv=22997494698023729, sum_v=11696970, vwap=1966107008
GOLDEN TICK: sum_pv=23155345879506764, sum_v=11777265, vwap=1966105532
GOLDEN TICK: sum_pv=23646737860520172, sum_v=12027200, vwap=1966104983
GOLDEN TICK: sum_pv=23419708166710122, sum_v=11911733, vwap=1966104190
GOLDEN TICK: sum_pv=23626508645697507, sum_v=12016918, vwap=1966103841
GOLDEN TICK: sum_pv=24171784959095176, sum_v=12294259, vwap=1966103443
GOLDEN TICK: sum_pv=24286574166001666, sum_v=12352645, vwap=1966103143
GOLDEN TICK: sum_pv=23142962158566642, sum_v=11770987, vwap=1966102091
GOLDEN TICK: sum_pv=24639162942101792, sum_v=12531985, vwap=1966102173
GOLDEN TICK: sum_pv=24474677285053629, sum_v=12448322, vwap=1966102522
GOLDEN TICK: sum_pv=24900157702077273, sum_v=12664721, vwap=1966103927
GOLDEN TICK: sum_pv=23842075454334074, sum_v=12126560, vwap=1966103779
GOLDEN TICK: sum_pv=23841615874730410, sum_v=12126330, vwap=1966103171
GOLDEN TICK: sum_pv=23241081719608380, sum_v=11820900, vwap=1966100865
GOLDEN TICK: sum_pv=23200826086651270, sum_v=11800440, vwap=1966098390
GOLDEN TICK: sum_pv=23189973789487052, sum_v=11794923, vwap=1966097938
GOLDEN TICK: sum_pv=23198227619503092, sum_v=11799124, vwap=1966097450
GOLDEN TICK: sum_pv=22398699869522280, sum_v=11392467, vwap=1966097410
GOLDEN TICK: sum_pv=23297501639859164, sum_v=11849619, vwap=1966097107
GOLDEN TICK: sum_pv=23649945221301920, sum_v=12028880, vwap=1966097028
GOLDEN TICK: sum_pv=24998871181149648, sum_v=12714976, vwap=1966096607
GOLDEN TICK: sum_pv=24835803438364344, sum_v=12632040, vwap=1966096009
GOLDEN TICK: sum_pv=25524591637375304, sum_v=12982389, vwap=1966093577
GOLDEN TICK: sum_pv=26260387556123319, sum_v=13356638, vwap=1966092631
GOLDEN TICK: sum_pv=27544353441829269, sum_v=14009698, vwap=1966091877
GOLDEN TICK: sum_pv=27496758506639999, sum_v=13985502, vwap=1966090205
GOLDEN TICK: sum_pv=27244203891696195, sum_v=13857064, vwap=1966087757
GOLDEN TICK: sum_pv=28222840954169839, sum_v=14354836, vwap=1966085920
GOLDEN TICK: sum_pv=28376491552361034, sum_v=14433007, vwap=1966083128
GOLDEN TICK: sum_pv=28613664668907441, sum_v=14553652, vwap=1966081411
GOLDEN TICK: sum_pv=28181122014566580, sum_v=14333675, vwap=1966077925
GOLDEN TICK: sum_pv=29945911743549384, sum_v=15231301, vwap=1966077076
GOLDEN TICK: sum_pv=29309814893543484, sum_v=14907769, vwap=1966076539
GOLDEN TICK: sum_pv=28341672820432660, sum_v=14415345, vwap=1966076623
GOLDEN TICK: sum_pv=27979331723614056, sum_v=14231051, vwap=1966076273
GOLDEN TICK: sum_pv=27050133285503560, sum_v=13758437, vwap=1966076036
GOLDEN TICK: sum_pv=27665068703742784, sum_v=14071214, vwap=1966075471
GOLDEN TICK: sum_pv=27466131197575212, sum_v=13970033, vwap=1966074897
GOLDEN TICK: sum_pv=26387165980029831, sum_v=13421248, vwap=1966073943
GOLDEN TICK: sum_pv=27038331627495327, sum_v=13752466, vwap=1966071512
GOLDEN TICK: sum_pv=25512338614165211, sum_v=12976324, vwap=1966068249
GOLDEN TICK: sum_pv=25679295426835959, sum_v=13061252, vwap=1966066915
GOLDEN TICK: sum_pv=25823716209688449, sum_v=13134724, vwap=1966064624
GOLDEN TICK: sum_pv=24559082865494301, sum_v=12491502, vwap=1966063237
GOLDEN TICK: sum_pv=22967948997208586, sum_v=11682217, vwap=1966060808
GOLDEN TICK: sum_pv=22462365541060804, sum_v=11425067, vwap=1966059852
GOLDEN TICK: sum_pv=22779046815082499, sum_v=11586142, vwap=1966059695
GOLDEN TICK: sum_pv=23086932767022074, sum_v=11742753, vwap=1966057939
GOLDEN TICK: sum_pv=22923028262134159, sum_v=11659384, vwap=1966058263
GOLDEN TICK: sum_pv=23456909418705529, sum_v=11930932, vwap=1966058428
GOLDEN TICK: sum_pv=23992860757786944, sum_v=12203528, vwap=1966059385
GOLDEN TICK: sum_pv=23076297069787516, sum_v=11737338, vwap=1966058834
GOLDEN TICK: sum_pv=24335761642049032, sum_v=12377940, vwap=1966059105
GOLDEN TICK: sum_pv=25351849320821446, sum_v=12894750, vwap=1966059777
GOLDEN TICK: sum_pv=25083152516589937, sum_v=12758075, vwap=1966060907
